VIN,TRANSACTION_ID,CORRECTION_VERBATIM,CUSTOMER_VERBATIM,REPAIR_DATE,CAUSAL_PART_NM,GLOBAL_LABOR_CODE_DESCRIPTION,PLATFORM,BODY_STYLE,VPPC,PLANT,BUILD_COUNTRY,LAST_KNOWN_DLR_NAME,LAST_KNOWN_DLR_CITY,REPAIRING_DEALER_CODE,DEALER_NAME,REPAIR_DLR_CITY,STATE,DEALER_REGION,REPAIR_DLR_POSTAL_CD,REPAIR_AGE,KM,COMPLAINT_CD_CSI,COMPLAINT_CD,VEH_TEST_GRP,COUNTRY_SALE_ISO,ORD_SELLING_SRC_CD,OPTN_FAMLY_CERTIFICATION,OPTF_FAMLY_EMISSIOF_SYSTEM,GLOBAL_LABOR_CODE,TRANSACTION_CATEGORY,REPORTING_COST,TOTALCOST,LBRCOST,ENGINE,ENGINE_DESC,TRANSMISSION,TRANSMISSION_DESC,ENGINE_SOURCE_PLANT,ENGINE_TRACE_NBR,TRANSMISSION_SOURCE_PLANT,TRANSMISSION_TRACE_NBR,SRC_TXN_ID,SRC_VER_NBR,TRANSACTION_CNTR,MEDIA_FLAG,VIN_MODL_DESGTR,LINE_SERIES,LAST_KNOWN_DELVRY_TYPE_CD,NON_CAUSAL_PART_QTY,SALES_REGION_CODE,tag_heating_issue,tag_electrical_issue,tag_cosmetic_issue,tag_safety_system_issue,tag_software_issue,tag_mechanical_issue,tag_material_failure
1Hcfdhe86Sz274242,13023,"Gained Access And Removed Old Steering Wheel After Disconnecting Battery Negative. Installed New Steering Wheel, Applied Loctite Tobolt That Retains Steering Wheel. Tighted Bolt. Re Installed Air Bag, Re Installed Trim. Re Connected Battery, Checked For Anyprotruding From Steering Wheel Molding, All Ok Now Gm Authorization# 490759800000",C/S: Removed Steering Wheel To Gain Access To Back Side Of Steering Wheel Where Trim Is That Is Protruding And Replaced Trim Andstill Is Pretruding. Issue Is In Steering Wheel Assembly Reference Ro# 82289 -- Gm Authorization# 490759800000,2024-01-09,Wheel Asm-Strg *Jet Black,Steering Wheel Replacement,Full-Size Trucks,Crew Cab,T1Ccf,Ftw,Us,Bluesky Autos,Palmyra,13-15377/118088,Platinum Wheels,Palmyra,Pa,1,170781909,8,6204,0,0-0890,T03.0354,Us,13,Ne1,Fub,130,Freg,476.16,476.16,63.99,Lz0,"Diesel, 6 Cyl, 3.0L, Cri, L6, Dohc, Turbo, Vgt, Alum, Css50V, Var. 2",Mqc,"Byt 10 Spd, 10L80, Atss, Etrs, Cpa, Gen 2",70628511,V2212221Mftx0298,17749294.0,R2212281Cnjx0022,2809222210,6,1,N,Cf10543,1500,10.0,0,1,0,0,0,0,0,1,0
1Hykndrs3Mz177921,13027,Tech Replaced Steering Wheel To Correct Pra 487188600000,C/S: Customer States There Is A Piece Of The Steering Wheel Sticking Up. Sop Part Is In,2024-01-10,Wheel Asm-Strg *Dark Titaniu,Steering Wheel Replacement,Global Crossover Vehicles,4 Door Utility,C1Ul,Sht,Us,Quantum Auto Sales,Dayton,12-20769/119037,Redline Auto Co.,Cincinnati,Oh,1,452426498,35,70354,0,0-0310,T03.6151,Us,12,Fe9,Ftb,130,Freg,322.13,322.13,53.46,Lgx,"Gas, 6 Cyl, 3.6L, V6, Di, Dohc, Vvt, Alum, Gen 2",M3W,"Transmission Byt 9 Spd, 9T65, Etrs Gen 1",37749264,W2220292Jdpx0477,822972980.0,21220220Kkbp0881,2809492824,4,1,Y,6Nh26,Premium Luxury,37.0,0,1,0,0,0,0,0,0,0
1Hyksmrk4Sz001121,13025,Replaced Steering Wheel Asmy,(Install Special Order Part) Customer States The Right Side Steering Wheel Super Cruise Plastic Cover Is Lifting Up And Not Secure.Pra 491752600000,2024-01-10,Wheel Asm-Strg *Backen Blackk,Steering Wheel Replacement,Bev,4 Door Utility,L233-Lsop,Sht,Us,Velocity Auto Group,Las Vegas,13-20095/114568,Luxecar Dealership,Ontario,Ca,1,917644452,6,12628,0,0-0312,T00.0006,Us,12,Yf5,Ff6,130,Freg,1414.83,1414.83,95.5,En0,None,Mf1,None,Unknown,Unknown,8042172.0,Unknown,2809291177,6,1,N,6Mb26,Lux-1,10.0,0,1,0,0,0,1,0,0,1
1H6Ds5Rk6S0127345,13025,Replaced Heated Steering Wheel,Customer States Heated Steering Wheel Isnt Working,2024-01-10,Wheel Asm-Strg *Black,Steering Wheel Replacement,Luxury Car-3,4 Door Sedan,A2Ll,Lgr,Us,Redwood Motor Co.,Jonesboro,13-17211/111427,Citystar Motors,Poplar Bluff,Mo,1,639015525,12,19743,0,0-0310,V02.0041,Us,12,Fe9,Ftb,130,Freg,562.5,562.5,85.86,Lsy,"Gas, 4 Cyl, L4, 2.0L, Sidi, Dohc, Vvt, Alum, Turb O, Var 3",Mq2,"Byt 10 Spd, 10L60, Gen 1, Atss, Etrs, Var 1",830107152,N1221292Ju7X2198,287827.0,S1221112Qrjx2178,2809244294,20,1,Y,6Dc79,Luxury,10.0,0,1,1,0,0,0,0,0,0
1Hc4Ysey3Rf110164,13023,Checked And Verified Customer Concern And Found Trim Piece Loose Remov Ed Replaced Trim Piece On The Back Of The Passenger Side Ofsteering W Heel Complete,Customer States Steering Wheel Conrol Passenger Side Rear On The Steer Ing Wheel Is Loose Sop Part,2024-01-10,Cover-Strg Whl Airbag Acc Hole *Jet Black,Steering Wheel Spoke Cover Replacement,Full-Size Trucks,Crew Cab,T1Cch,Flt,Us,Titan Cars,Cortland,13-28690/113578,Velocity Vehicle Sales,Cortland,Oh,1,444101448,9,17675,0,0-0316,D06.6385,Us,13,Ne1,Fum,50,Freg,63.1,63.1,61.27,L5P,"Diesel, 8 Cyl, 6.6L, Di, V8, Turbo, Duramax, Gen 5 Var. 1",Mgm,"Byt 10 Spd, 10R1000, Grx, Gen 1, Var 1",79253428,R2210714Jfhx0992,8042172.0,Y0210111Mkfx0928,2809282189,2,1,N,Cf20743,2500,16.0,0,1,0,0,0,0,0,1,0
1Hks1Jkl0Sr282668,13024,"Verified Customer Concern About A Horn Inop. I Followed Document 4374183 To Diagnose This Concern. I Monitored Scan Tool Data Forthe Horn Activation While Pressing The Horn And It Was Changing Intermittently. I Then Tested Circuits 3287 At The Steering Wheelfor A Short And All Was Ok, I Then Tested Circuit 6051 And Ground Circuit Had No High Resistance. I Then Tested Terminal Tension Onthe Steering Wheel Harness And Found Loose Tension On The Horn Connection And Required A Harness Replacement I Then Replaced Thesteering Wheel Harness. After Repairs, The Vehicle Is Now Honking As Designed",Customer States Ck Horn On The Steering Wheel Only Works In The Middle On The Side It Does No Work,2024-01-11,Harness Asm-Strg Whl Horn Sw Wrg,Steering Wheel Horn Switch Wiring Harness Replacement,Full-Size Utility,4 Door Utility,T1Ygf,Arl,Us,Urbancar Dealership,Rio Grande City,13-30014/114870,Crestwood Auto,Rio Grande City,Tx,1,785824821,10,21295,0,0-0310,T06.2375,Us,48,Fe9,Ftb,20,Freg,275.55,275.55,202.67,L87,"Gas, 8 Cyl, V8, 6.2L, Di, Dfm, Alum, Gen 5",Mhs,"Byt 10 Spd, 10L80, Grx, Gen 1, Atss, Etrs, Var 1",249196973,K2210291Mfyx0999,287827.0,S2210212Ccjx0718,2809298492,2,1,N,Tc10906,1500,10.0,0,1,1,1,0,1,0,1,0
1Hc4Y9Ey2Mf192148,13026,Steering Wheel Replacement,�������� ������ ����������,2024-01-11,Wheel Asm-Strg *Jet Black,Steering Wheel Replacement,Full-Size Trucks,Crew Cab,T1Cch,Flt,Us,Regal Ride Motors,Lod,72-73421/159921,Goldenroad Motors,Kiryat Gat,Unknown,4,Unknown,33,107905,0,0-0890,D06.6385,Il,72,Fe9,Ftb,130,Freg_Pol,221.83,221.83,28.0,L5P,"Diesel, 8 Cyl, 6.6L, Di, V8, Turbo, Duramax, Gen 5 Var. 1",Mgm,"Byt 10 Spd, 10R1000, Grx, Gen 1, Var 1",79253428,R2220282Jrhx0409,8042172.0,Y0220280Mkfx0292,2809489112,2,1,N,Cf20743,2500,18.0,0,4,0,0,0,0,0,0,0
1H1Fz6S00N4109597,13025,"Replace Steering Wheel Check Ok 1699-,0130","Heated Steering Wheel Inop. When You Hit The Button On It Turns Off Immediately. When Remote Starting It, It Will Turn Light On Butnever Heat Up. - Ro 6124563 - Ro 6126117 - Dave - Pra #495554400000",2024-01-11,Wheel Asm-Strg *Jet Black,Steering Wheel Replacement,Global Gamma,4 Door Sedan,C121,Ori,Us,Capital Car Dealers,Davison,13-44014/115093,Truedrive Auto,Clarkston,Mi,1,48348,17,42079,0,0-0890,V00.0002,Us,13,Fe9,Ft7,130,Freg,411.47,457.47,62.02,En0,None,Mmf,"Byt, Electric, Gm, Gem, Gen 2, Drive Unit, X68F",Unknown,Unknown,8042172.0,Unknown,2809122794,4,1,N,1Fg48,Premier,21.0,0,1,1,0,0,0,0,0,0
1Hnevkkw6Sj216435,13025,Installed Special Ordered Steering Wheel Due To Threads Fraying On Whe El 0130 .4 629,Steering Wheel Fraying Parts Are In,2024-01-11,Wheel Asm-Strg * Jet Black,Steering Wheel Replacement,Crossover Suv,4 Door Utility,C1Yc,Del,Us,Prestige Wheels,Saginaw,13-44196/300736,Titan Motors Group,Saginaw,Mi,1,486031297,10,17774,0,0-0890,T03.6151,Us,13,Fe9,Ftb,130,Freg,395.44,395.44,50.27,Lfy,"Gas, 6 Cyl, V6, 3.6L, Sidi, Dohc, Atss, Gen 1+",M3V,"Byt 9 Spd, 9T65, Gen 1",K,210490972,822972980.0,21210129Ikbp0429,2809298112,4,1,N,1Nx56,Premier,21.0,0,1,0,0,0,0,0,0,0
1Hr49Wey2Nf322460,13024,"Reconnected Horn Checked Operation, Ok.",Added Operation Horn Doesnt Work Hasnt Worked Since Brand New Tech Cause Horn Connector Not Fully Seated On Harn Assembly Anddisconnected Tech Comments Reconnected Horn Checked Operation Ok,2024-01-11,Unknown,Steering Wheel Horn Switch Wiring Harness Replacement,Full-Size Trucks,Crew Cab,T1Cgh,Flt,Us,Goldstar Autos,Edmonton,14-82489/320243,Bluesky Auto Sales,Edmonton,Ab,1,T5E4C7,20,34161,0,0-0621,D06.6385,Ca,14,Fe9,Ftb,20,Freg,30.09,31.6,31.6,L5P,"Diesel, 8 Cyl, 6.6L, Di, V8, Turbo, Duramax, Gen 5 Var. 1",Mgm,"Byt 10 Spd, 10R1000, Grx, Gen 1, Var 1",79253428,R2222412Mu9X0781,8042172.0,Y0222190Mkfx0498,2809222282,2,1,N,Tf30743,3500,18.0,0,1,0,0,0,1,0,0,0
3Hrffcer3Nh528824,13025,"Pra Approved, Pra #495794600000 Found The Steering Wheel To Be Coming Apart. Replaced The Steering Wheel. Verified Repair.",Customer States Stitching On Steering Wheel Is Coming Undone On The Ri Ght Side,2024-01-11,Wheel Asm-Strg *Black,Steering Wheel Replacement,Full-Size Trucks,Crew Cab,T1Cgf,Sil,Mx,Infinite Motors,Henderson,11-11457/116555,Metromax Motors,Dallas,Tx,1,752093016,22,34260,0,0-0890,T03.0353,Us,48,Fe9,Ftb,130,Freg,621.34,621.34,107.28,Lm2,"Diesel, 6 Cyl, 3.0L, Cri, L6, Dohc, Turbo, Vgt, Al Um, Css50V",Mqc,"Byt 10 Spd, 10L80, Atss, Etrs, Cpa, Gen 2",70628511,V2220472Cvcx0021,287827.0,S1220791Cnjx0210,2809294191,4,1,N,Tf10543,1500,10.0,0,1,0,0,0,0,0,0,1
1Hykndr46Nz151056,13025,Replaced Steering Wheel Trim Ring,Customer States Chrome Trim On Steering Wheel Is Cracked,2024-01-12,Cover-Strg Whl Spoke *Linear Galaxd,Steering Wheel Spoke Cover Replacement,Global Crossover Vehicles,4 Door Utility,C1Ul,Sht,Us,Platinum Auto Co.,Indiana,12-20573/117099,Crystal Drive Auto,Indiana,Pa,1,157012061,21,24129,0,0-0313,T02.0500,Us,12,Ne1,Fug,50,Freg,386.62,386.62,51.75,Lsy,"Gas, 4 Cyl, L4, 2.0L, Sidi, Dohc, Vvt, Alum, Turb O, Var 3",M3G,"Byt 9 Spd, 9T60, Etrs Gen 1",830107152,N2220942Juhx0982,822972980.0,21220170Vhbp0421,2809179492,26,1,N,6Nh26,Premium Luxury,10.0,0,1,0,0,1,0,0,0,0
1Hnevnkw4Sj144359,13025,Leather Pulling Away From Wheel 0130 0.40 Replacedsteering Wheel Pre Auth 488737400000,Customer States The Leather On Steering Wheel Is Coming Apart - Sophere,2024-01-12,Wheel Asm-Strg * Jet Black,Steering Wheel Replacement,Crossover Suv,4 Door Utility,C1Yc,Del,Us,Swiftcar Traders,Weatherford,13-07367/112288,Elitestreet Motors,Weatherford,Tx,1,760878773,15,35914,0,0-0312,T03.6151,Us,13,Unknown,Ftb,130,Freg,436.5,436.5,56.87,Lfy,"Gas, 6 Cyl, V6, 3.6L, Sidi, Dohc, Atss, Gen 1+",M3V,"Byt 9 Spd, 9T65, Gen 1",K,222940921,822972980.0,22222109Ikbp2899,2809184401,4,1,Y,1Nx56,High Country,10.0,0,1,0,0,0,0,0,0,1
3Hrs9Eed0Lh255650,13025,"Steering Wheel Spoke Cover, Per Goodwill Assistance, Customer Has A Deductible Of $86.45",Customer States The Steering Wheel Bezel Is Peeling.,2024-01-12,Applique Asm-Strg Whl Tr Spoke Cvr *Vulcan,Steering Wheel Spoke Cover Replacement,Full-Size Trucks,Crew Cab,T1Cgf,Sil,Mx,Nextgen Motors,Valdosta,13-26192/159183,Libertyride Auto,Valdosta,Ga,1,316026802,47,59192,0,0-0890,Lgmxt05.3386,Us,48,Fe9,Ftb,50,Freg_Pol,214.4,214.4,78.0,L84,"Gas, 8 Cyl, 5.3L, V8, Di, Dfm, Alum, Gen 5",Mqb,"Byt 10 Spd, 10L80, Atss, Cpa, Gen 2",812040194,A2200220Hgux2088,287827.0,S2200210Bkjx2982,2809182089,8,1,Y,Tf10543,1500,10.0,0,1,0,0,1,1,0,0,1
1Hks2Jkr2Nr336997,13073,Replaced Steering Wheel No Further Action Required.,Customer States Steering Wheels Stiching Coming Apart,2024-01-12,Wheel Asm-Strg *Very Dark At,Steering Wheel Replacement,Full-Size Utility,4 Door Utility,T1Ygf,Arl,Us,Liberty Drive,Miami,13-26329/312777,Highlander Car Sales,Homestead,Fl,1,330341829,18,32616,0,0-0890,T03.0353,Us,48,Fe9,Ftb,130,Freg,454.63,454.63,73.62,Lm2,"Diesel, 6 Cyl, 3.0L, Cri, L6, Dohc, Turbo, Vgt, Al Um, Css50V",Mqc,"Byt 10 Spd, 10L80, Atss, Etrs, Cpa, Gen 2",70628511,V2222922Cvcx0009,287827.0,S1222471Cnjx0228,2821704292,8,1,N,Tf10906,1500,10.0,0,1,0,0,0,0,0,0,1
1Hcfdeed3Sz308171,13037,Replaced Steering Wheel,Wrap On The Steeering Wheel Is Peeling ***Need Pra Done By Management****,2024-01-12,Wheel Asm-Strg *Jet Black,Steering Wheel Replacement,Full-Size Trucks,Crew Cab,T1Ccf,Ftw,Us,Dreamcars Auto,Grand Forks,13-04703/111708,Horizonview Auto,Grand Forks,Nd,1,582016720,4,8678,0,0-0312,T05.3386,Us,13,Fe9,Ftb,130,Freg,456.98,456.98,69.06,L84,"Gas, 8 Cyl, 5.3L, V8, Di, Dfm, Alum, Gen 5",Mhs,"Byt 10 Spd, 10L80, Grx, Gen 1, Atss, Etrs, Var 1",2127157,T2212491Mf1X0970,17749294.0,R2210822Ckjx0278,2820422129,4,1,Y,Cf10543,1500,10.0,0,1,0,0,1,0,0,0,1
1Hyknhrs1Lz157005,13025,Replace Steering Wheel Switch Trim (Sop Part Before Warranty Expiratio N),C/S Carbon Fiber Applique On Steering Wheel Is Peeling Off. Sop In,2024-01-12,Cover-Strg Whl Spoke *Hi Gloss V-C,Steering Wheel Spoke Cover Replacement,Global Crossover Vehicles,4 Door Utility,C1Ul,Sht,Us,Legacy Vehicle Sales,Clearwater,12-21098/169196,Rapidroad Motors,Pinellas Park,Fl,1,337812655,50,56575,0,0-0312,Lgmxt03.6151,Us,12,Fe9,Ftb,50,Freg_Pol,695.8,695.8,57.26,Lgx,"Gas, 6 Cyl, 3.6L, V6, Di, Dohc, Vvt, Alum, Gen 2",M3W,"Transmission Byt 9 Spd, 9T65, Etrs Gen 1",37749264,W2291470Hybx0492,822972980.0,22291280Kkbp2422,2809272972,4,1,Y,6Nj26,Sport,37.0,0,1,0,0,1,0,0,0,0
